@relation 'raw-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval -M-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 1 numeric
@attribute 96 numeric
@attribute 93 numeric
@attribute 95 numeric
@attribute 97 numeric
@attribute 78 numeric
@attribute 99 numeric
@attribute 101 numeric
@attribute 91 numeric
@attribute 90 numeric
@attribute 89 numeric
@attribute 88 numeric
@attribute 81 numeric
@attribute 82 numeric
@attribute 84 numeric
@attribute 86 numeric
@attribute 87 numeric
@attribute 104 numeric
@attribute 106 numeric
@attribute 107 numeric
@attribute 117 numeric
@attribute 120 numeric
@attribute 121 numeric
@attribute 123 numeric
@attribute 124 numeric
@attribute 125 numeric
@attribute 118 numeric
@attribute 116 numeric
@attribute 108 numeric
@attribute 114 numeric
@attribute 109 numeric
@attribute 110 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 80 numeric
@attribute 76 numeric
@attribute 127 numeric
@attribute 27 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 31 numeric
@attribute 75 numeric
@attribute 34 numeric
@attribute 45 numeric
@attribute 22 numeric
@attribute 20 numeric
@attribute 16 numeric
@attribute 13 numeric
@attribute 5 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 50 numeric
@attribute 65 numeric
@attribute 69 numeric
@attribute 70 numeric
@attribute 71 numeric
@attribute 73 numeric
@attribute 74 numeric
@attribute 67 numeric
@attribute 64 numeric
@attribute 51 numeric
@attribute 62 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 56 numeric
@attribute 57 numeric
@attribute 60 numeric
@attribute 126 numeric
@attribute 100 numeric
@attribute 128 numeric
@attribute 185 numeric
@attribute 160 numeric
@attribute 162 numeric
@attribute 166 numeric
@attribute 163 numeric
@attribute 187 numeric
@attribute 157 numeric
@attribute 156 numeric
@attribute 188 numeric
@attribute 152 numeric
@attribute 191 numeric
@attribute 179 numeric
@attribute 165 numeric
@attribute 167 numeric
@attribute 149 numeric
@attribute 182 numeric
@attribute 183 numeric
@attribute 176 numeric
@attribute 169 numeric
@attribute 181 numeric
@attribute 175 numeric
@attribute 184 numeric
@attribute 174 numeric
@attribute 129 numeric
@attribute 170 numeric
@attribute 171 numeric
@attribute 172 numeric
@attribute 150 numeric
@attribute 154 numeric
@attribute 180 numeric
@attribute 145 numeric
@attribute 134 numeric
@attribute 135 numeric
@attribute 144 numeric
@attribute 136 numeric
@attribute 140 numeric
@attribute 138 numeric
@attribute 137 numeric
@attribute 142 numeric
@attribute 133 numeric
@attribute 139 numeric
@attribute 194 numeric
@attribute 130 numeric
@attribute 195 numeric
@attribute 197 numeric
@attribute 147 numeric
@attribute 131 numeric
@attribute 196 numeric
@attribute 28 numeric
@attribute 21 numeric
@attribute 4 numeric
@attribute 6 numeric
@attribute 37 numeric
@attribute 35 numeric
@attribute 30 numeric
@attribute 79 numeric
@attribute 102 numeric
@attribute 17 numeric
@attribute 44 numeric
@attribute 119 numeric
@attribute 105 numeric
@attribute 193 numeric
@attribute 115 numeric
@attribute 41 numeric
@attribute 43 numeric
@attribute 40 numeric
@attribute 7 numeric
@attribute 39 numeric
@attribute 32 numeric
@attribute 2 numeric
@attribute 15 numeric
@attribute 63 numeric
@attribute 54 numeric
@attribute 132 numeric
@attribute 103 numeric
@attribute 55 numeric
@attribute 61 numeric
@attribute 72 numeric
@attribute 159 numeric
@attribute 10 numeric
@attribute 122 numeric
@attribute 146 numeric
@attribute 18 numeric
@attribute 49 numeric
@attribute 14 numeric
@attribute 148 numeric
@attribute 94 numeric
@attribute 85 numeric
@attribute 19 numeric
@attribute 92 numeric
@attribute 153 numeric
@attribute 178 numeric
@attribute 192 numeric
@attribute 199 numeric
@attribute 3 numeric
@attribute 198 numeric
@attribute 141 numeric
@attribute 143 numeric
@attribute 189 numeric
@attribute 23 numeric
@attribute 158 numeric
@attribute 155 numeric
@attribute 36 numeric
@attribute 38 numeric
@attribute 168 numeric
@attribute 42 numeric
@attribute 173 numeric
@attribute 177 numeric
@attribute 26 numeric
@attribute 164 numeric
@attribute 200 numeric
@attribute 83 numeric
@attribute 29 numeric
@attribute 77 numeric
@attribute 186 numeric
@attribute 33 numeric
@attribute 161 numeric
@attribute 190 numeric
@attribute 59 numeric
@attribute 98 numeric
@attribute 68 numeric
@attribute 66 numeric
@attribute 48 numeric
@attribute 58 numeric
@attribute 151 numeric
@attribute class {0,1,2,3}

@data

-0.327966,-0.327966,-0.327966,-0.327966,0.743726,0.743726,-0.327966,0.20788,-0.327966,0.743726,-0.327966,-0.327966,0.20788,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,0.20788,-0.327966,-0.327966,-0.327966,0.743726,-0.327966,-0.327966,0.20788,2.351264,-0.327966,1.815418,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,0.20788,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,0.20788,-0.327966,-0.327966,0.20788,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,0.743726,-0.327966,0.743726,0.20788,-0.327966,-0.327966,-0.327966,-0.327966,1.815418,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,1.279572,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,0.20788,0.20788,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,0.743726,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,11.996494,-0.327966,-0.327966,-0.327966,1.279572,-0.327966,-0.327966,-0.327966,-0.327966,0.20788,0.20788,-0.327966,1.815418,-0.327966,-0.327966,-0.327966,-0.327966,0.20788,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,0.743726,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,0.20788,-0.327966,-0.327966,-0.327966,-0.327966,-0.327966,1.815418,0.743726,0.20788,-0.327966,0.20788,-0.327966,-0.327966,5.030495,0
-0.275165,-0.275165,-0.275165,-0.275165,0.527651,0.527651,-0.275165,1.330466,-0.275165,0.527651,-0.275165,-0.275165,0.527651,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,0.527651,-0.275165,-0.275165,-0.275165,1.330466,-0.275165,-0.275165,1.330466,1.330466,-0.275165,0.527651,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,2.936097,-0.275165,0.527651,2.133282,-0.275165,-0.275165,-0.275165,-0.275165,2.133282,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,2.133282,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,0.527651,0.527651,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,0.527651,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,10.161437,-0.275165,-0.275165,-0.275165,1.330466,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,0.527651,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,0.527651,-0.275165,-0.275165,-0.275165,-0.275165,-0.275165,2.936097,1.330466,0.527651,-0.275165,-0.275165,-0.275165,-0.275165,2.936097,0
0.0096,-0.052125,0.040462,0.040462,-0.052125,0.0096,0.0096,0.133048,-0.021263,-0.052125,-0.052125,-0.052125,0.0096,-0.052125,-0.052125,-0.052125,-0.052125,0.071324,-0.052125,0.040462,-0.052125,-0.052125,-0.052125,-0.052125,-0.052125,0.0096,-0.052125,-0.052125,0.071324,-0.052125,-0.021263,-0.021263,-0.052125,-0.052125,0.040462,-0.021263,-0.052125,-0.052125,-0.052125,0.688568,-0.052125,0.0096,-0.021263,-0.052125,0.0096,-0.052125,-0.052125,-0.052125,-0.052125,52.59877,0.163911,2.787197,0.163911,0.287359,0.0096,9.144808,0.503395,-0.021263,-0.052125,-0.052125,-0.021263,-0.052125,-0.021263,-0.052125,0.040462,0.040462,-0.021263,-0.052125,-0.052125,0.0096,-0.021263,-0.021263,-0.052125,-0.052125,-0.052125,-0.052125,-0.052125,0.0096,-0.052125,-0.021263,0.040462,-0.052125,-0.021263,-0.052125,-0.021263,-0.052125,-0.052125,-0.021263,-0.052125,0.0096,-0.052125,-0.021263,-0.052125,-0.052125,-0.052125,-0.052125,-0.052125,-0.052125,0.0096,-0.052125,0.0096,-0.052125,-0.052125,-0.052125,-0.052125,-0.021263,-0.021263,0.071324,-0.052125,-0.052125,-0.052125,-0.052125,-0.052125,-0.052125,-0.052125,-0.052125,-0.052125,-0.021263,-0.052125,-0.052125,0.0096,-0.052125,-0.052125,0.565119,0.0096,-0.052125,0.0096,-0.021263,-0.052125,1.552709,0.040462,-0.052125,0.040462,-0.052125,-0.021263,-0.052125,0.0096,-0.052125,0.040462,-0.052125,-0.052125,0.0096,0.256497,0.904603,-0.021263,-0.021263,1.676158,0.379946,-0.021263,-0.021263,0.071324,0.133048,-0.052125,-0.052125,-0.052125,-0.021263,-0.052125,0.0096,0.071324,-0.021263,0.0096,-0.052125,0.781154,-0.052125,0.0096,0.0096,-0.052125,-0.052125,-0.052125,-0.052125,-0.052125,0.040462,-0.052125,-0.052125,-0.052125,-0.021263,-0.021263,-0.021263,-0.052125,-0.052125,-0.021263,-0.052125,-0.052125,-0.052125,-0.052125,-0.052125,-0.021263,-0.052125,0.040462,-0.052125,-0.052125,-0.052125,0.472532,0.133048,0.163911,0.318222,0.163911,0.0096,0.0096,0.472532,1
0.402263,-0.068536,-0.068536,0.025624,-0.068536,0.025624,0.025624,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,0.119783,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,0.025624,-0.068536,-0.068536,0.025624,0.119783,0.119783,-0.068536,-0.068536,0.308103,0.119783,0.119783,-0.068536,-0.068536,0.025624,-0.068536,-0.068536,0.025624,-0.068536,48.141263,0.967221,6.146008,0.213943,0.025624,-0.068536,8.029203,0.496422,0.025624,-0.068536,0.025624,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,0.025624,0.025624,-0.068536,-0.068536,-0.068536,0.213943,-0.068536,-0.068536,0.025624,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,0.025624,0.119783,-0.068536,-0.068536,-0.068536,0.213943,0.025624,0.119783,0.025624,-0.068536,-0.068536,-0.068536,0.025624,0.213943,0.025624,-0.068536,0.213943,0.025624,-0.068536,-0.068536,-0.068536,0.213943,0.119783,-0.068536,1.155541,0.025624,-0.068536,0.025624,0.025624,-0.068536,2.285458,0.967221,-0.068536,0.025624,-0.068536,0.119783,0.213943,0.025624,0.119783,0.025624,-0.068536,-0.068536,-0.068536,0.308103,1.814659,-0.068536,-0.068536,0.308103,0.402263,-0.068536,0.025624,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,0.025624,-0.068536,0.025624,0.213943,-0.068536,-0.068536,0.025624,2.473777,-0.068536,0.025624,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,-0.068536,0.684742,0.119783,1.061381,0.213943,0.119783,0.025624,0.025624,0.308103,1
0.076618,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,0.004312,-0.067994,0.221229,0.004312,-0.067994,0.076618,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,0.076618,-0.067994,-0.067994,-0.067994,-0.067994,0.004312,0.004312,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,0.438146,0.076618,-0.067994,0.076618,-0.067994,0.221229,-0.067994,-0.067994,0.148923,-0.067994,51.05212,0.293535,6.077989,0.076618,0.076618,-0.067994,3.258067,0.510452,-0.067994,0.148923,-0.067994,-0.067994,0.004312,-0.067994,-0.067994,-0.067994,-0.067994,0.076618,0.293535,0.076618,-0.067994,-0.067994,-0.067994,0.004312,-0.067994,-0.067994,-0.067994,-0.067994,0.004312,-0.067994,-0.067994,0.004312,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,0.004312,0.148923,-0.067994,-0.067994,0.004312,-0.067994,0.004312,-0.067994,0.076618,0.004312,0.004312,-0.067994,0.148923,0.004312,-0.067994,-0.067994,0.148923,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,0.004312,0.004312,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,0.004312,-0.067994,-0.067994,-0.067994,-0.067994,0.510452,0.36584,-0.067994,0.148923,0.221229,-0.067994,1.305814,1.088897,-0.067994,0.221229,-0.067994,0.004312,0.004312,0.076618,0.148923,0.076618,-0.067994,-0.067994,-0.067994,0.076618,0.727369,0.076618,0.076618,0.076618,0.221229,0.004312,0.004312,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,0.076618,-0.067994,-0.067994,0.076618,-0.067994,-0.067994,0.076618,8.464076,-0.067994,0.148923,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,-0.067994,0.510452,0.148923,1.233509,0.221229,0.004312,0.004312,0.004312,0.076618,1
-0.006933,-0.047091,0.153702,-0.047091,-0.006933,0.033226,-0.047091,-0.006933,-0.006933,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,-0.006933,-0.047091,0.033226,-0.006933,-0.006933,-0.047091,-0.047091,-0.006933,-0.047091,0.033226,-0.006933,-0.047091,-0.006933,-0.047091,-0.047091,-0.047091,-0.047091,0.113544,-0.047091,-0.047091,-0.006933,-0.047091,-0.047091,-0.047091,-0.047091,0.8364,-0.047091,-0.006933,-0.047091,-0.047091,0.073385,-0.047091,-0.047091,-0.047091,-0.047091,53.765592,0.23402,1.639575,-0.006933,0.033226,0.113544,2.201797,0.314337,-0.047091,-0.047091,-0.006933,-0.047091,0.033226,0.033226,-0.047091,-0.047091,-0.047091,-0.006933,-0.047091,-0.047091,0.073385,-0.047091,-0.006933,0.113544,-0.047091,-0.047091,-0.006933,0.073385,-0.047091,-0.047091,0.033226,-0.047091,-0.047091,-0.047091,-0.006933,0.033226,-0.006933,-0.006933,-0.047091,-0.047091,0.033226,-0.047091,-0.047091,0.153702,-0.047091,-0.006933,-0.047091,-0.047091,-0.047091,-0.047091,0.033226,-0.047091,-0.047091,-0.006933,-0.047091,0.033226,0.033226,-0.047091,-0.047091,-0.047091,0.033226,-0.047091,-0.006933,-0.047091,-0.047091,0.033226,-0.006933,-0.047091,-0.047091,-0.006933,-0.047091,0.033226,-0.047091,-0.006933,0.434813,-0.006933,-0.047091,0.113544,0.073385,0.193861,1.80021,0.274178,-0.047091,-0.006933,-0.047091,-0.006933,0.073385,-0.047091,0.073385,0.033226,-0.047091,-0.047091,-0.047091,0.033226,1.197829,0.153702,-0.006933,0.073385,0.113544,-0.047091,-0.047091,-0.006933,-0.047091,-0.047091,-0.047091,-0.047091,-0.006933,-0.047091,-0.047091,-0.006933,-0.006933,-0.047091,0.033226,3.406558,0.033226,0.033226,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,-0.006933,-0.047091,-0.047091,-0.006933,-0.006933,-0.006933,-0.006933,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,-0.047091,0.153702,0.073385,0.796242,-0.006933,0.073385,-0.006933,-0.047091,0.515131,1
0.188138,-0.072999,-0.072999,-0.072999,-0.072999,0.057569,-0.040357,-0.007715,-0.040357,-0.072999,-0.072999,-0.007715,-0.072999,-0.072999,-0.072999,-0.072999,0.122854,-0.040357,-0.040357,-0.072999,0.090212,-0.040357,-0.072999,-0.007715,0.024927,-0.072999,-0.007715,-0.040357,-0.072999,-0.007715,0.024927,-0.040357,-0.007715,-0.072999,-0.007715,-0.040357,-0.072999,0.024927,-0.072999,0.808339,-0.072999,-0.072999,-0.072999,-0.072999,0.024927,-0.072999,-0.072999,-0.007715,-0.072999,46.246196,0.449275,2.734225,0.090212,0.057569,-0.040357,2.538372,0.67777,-0.072999,-0.072999,-0.072999,-0.007715,0.090212,-0.072999,-0.040357,0.090212,-0.072999,-0.072999,-0.072999,-0.072999,-0.040357,-0.072999,0.057569,-0.007715,-0.007715,-0.072999,0.057569,-0.040357,-0.072999,0.286064,0.090212,-0.072999,-0.007715,-0.040357,-0.040357,-0.040357,0.090212,0.188138,-0.040357,-0.072999,-0.040357,-0.072999,0.057569,-0.007715,-0.007715,0.024927,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.007715,-0.007715,-0.072999,-0.040357,-0.072999,0.057569,-0.072999,-0.040357,0.090212,-0.040357,-0.007715,-0.040357,-0.072999,-0.040357,0.057569,-0.072999,-0.072999,-0.040357,-0.072999,-0.072999,0.057569,-0.072999,-0.040357,0.188138,-0.040357,-0.072999,0.155496,0.090212,-0.007715,1.428539,0.547202,-0.072999,0.122854,-0.072999,-0.040357,0.024927,0.057569,0.253422,0.057569,-0.040357,0.057569,0.22078,0.22078,0.971549,0.024927,0.188138,-0.007715,0.318707,-0.072999,0.024927,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.007715,-0.072999,0.057569,0.188138,-0.072999,-0.072999,0.090212,4.888606,-0.072999,-0.040357,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.072999,-0.040357,-0.072999,0.024927,-0.072999,-0.072999,-0.072999,1.004191,0.057569,1.787603,0.318707,0.057569,-0.040357,-0.007715,0.449275,1
-0.062171,0.160988,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,0.473409,-0.062171,-0.062171,0.116356,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.017539,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,0.116356,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,0.294883,-0.062171,0.160988,1.455306,-0.062171,0.473409,-0.062171,0.071724,0.250251,-0.062171,1.142884,21.718077,-0.062171,17.031753,-0.062171,-0.017539,-0.062171,4.222468,0.071724,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,0.027093,-0.062171,-0.062171,4.936575,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.017539,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.017539,-0.062171,-0.062171,0.027093,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.017539,-0.062171,-0.062171,-0.017539,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,1.723096,-0.062171,-0.062171,-0.062171,-0.062171,1.946254,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,0.160988,-0.062171,-0.062171,-0.017539,-0.062171,0.027093,-0.062171,0.027093,0.116356,-0.017539,-0.017539,-0.017539,-0.062171,-0.017539,-0.062171,-0.062171,-0.062171,0.027093,-0.062171,-0.017539,-0.062171,0.027093,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,0.027093,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.017539,-0.062171,-0.062171,-0.062171,-0.062171,0.160988,-0.062171,-0.062171,-0.062171,-0.062171,-0.062171,-0.017539,2
-0.038546,0.000734,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,0.059652,-0.038546,-0.038546,0.079292,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,0.040013,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,0.609562,-0.038546,0.432805,0.295328,-0.038546,-0.018906,-0.038546,1.041634,0.216769,-0.038546,4.223254,37.787382,-0.038546,40.694047,-0.038546,-0.038546,-0.038546,5.656947,0.040013,-0.038546,0.000734,-0.038546,-0.038546,-0.018906,0.040013,-0.038546,-0.038546,1.100553,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.018906,-0.038546,-0.038546,-0.018906,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,0.020373,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.018906,-0.038546,-0.018906,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,0.295328,-0.038546,-0.018906,-0.038546,-0.038546,0.157851,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,0.19713,-0.038546,-0.038546,0.000734,-0.038546,0.040013,-0.038546,0.000734,-0.038546,0.000734,0.000734,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.018906,-0.018906,-0.038546,-0.018906,-0.038546,0.040013,0.000734,-0.018906,-0.038546,-0.038546,-0.038546,-0.038546,0.000734,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,0.491724,-0.038546,-0.038546,-0.038546,-0.038546,-0.038546,-0.018906,2
