@relation 'raw-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 2 numeric
@attribute 1 numeric
@attribute 4 numeric
@attribute 19 numeric
@attribute 14 numeric
@attribute 48 numeric
@attribute 84 numeric
@attribute 27 numeric
@attribute 77 numeric
@attribute 54 numeric
@attribute 75 numeric
@attribute 53 numeric
@attribute 52 numeric
@attribute 56 numeric
@attribute 5 numeric
@attribute 66 numeric
@attribute 15 numeric
@attribute 3 numeric
@attribute 23 numeric
@attribute 55 numeric
@attribute 31 numeric
@attribute 44 numeric
@attribute 6 numeric
@attribute 29 numeric
@attribute 62 numeric
@attribute 30 numeric
@attribute 72 numeric
@attribute 7 numeric
@attribute 47 numeric
@attribute 13 numeric
@attribute 70 numeric
@attribute 28 numeric
@attribute 43 numeric
@attribute 81 numeric
@attribute 59 numeric
@attribute 37 numeric
@attribute 10 numeric
@attribute 68 numeric
@attribute 51 numeric
@attribute 9 numeric
@attribute 26 numeric
@attribute 50 numeric
@attribute 40 numeric
@attribute 61 numeric
@attribute 24 numeric
@attribute 12 numeric
@attribute 21 numeric
@attribute 64 numeric
@attribute 58 numeric
@attribute 80 numeric
@attribute 82 numeric
@attribute 63 numeric
@attribute 49 numeric
@attribute 65 numeric
@attribute 57 numeric
@attribute 11 numeric
@attribute 35 numeric
@attribute 45 numeric
@attribute 83 numeric
@attribute 38 numeric
@attribute 67 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 74 numeric
@attribute 22 numeric
@attribute 76 numeric
@attribute 17 numeric
@attribute 39 numeric
@attribute 8 numeric
@attribute 42 numeric
@attribute 41 numeric
@attribute 18 numeric
@attribute 60 numeric
@attribute 78 numeric
@attribute 20 numeric
@attribute 71 numeric
@attribute 73 numeric
@attribute 34 numeric
@attribute 79 numeric
@attribute 69 numeric
@attribute 36 numeric
@attribute 25 numeric
@attribute 16 numeric
@attribute 46 numeric
@attribute class {ClassOne,ClassZero,ClassTwo}

@data

0.2,1.4,-2.55299,0.154947,-0.187184,-0.311553,5.1,1.867558,-1.180632,-0.907298,0.77749,-0.67246,-0.359553,0.729091,-1.630198,0.302472,0.045759,-1.048553,0.313068,0.051945,1.764052,1.20238,-1.613898,0.400157,-1.234826,0.950088,-0.302303,-0.742165,0.462782,-1.454366,-1.420018,2.240893,-0.347912,-0.21274,-0.870797,0.443863,0.864436,-0.509652,-0.813146,0.056165,0.978738,-1.726283,-0.103219,0.128983,0.333674,-0.854096,1.469359,-0.362741,-0.57885,-0.510805,0.386902,1.139401,0.177426,-0.634322,-0.68481,0.653619,0.156349,1.230291,-0.895467,0.121675,-1.70627,3.5,-0.977278,-0.438074,1.532779,0.066517,-1.980796,1.454274,2.269755,0.410599,0.144044,-0.887786,0.402342,0.428332,-0.205158,-1.252795,-0.387327,-0.151357,-0.028182,1.950775,0.761038,1.494079,0.378163,-0.401781,ClassOne
0.2,1.6,-1.913743,0.743554,1.059806,1.723696,5,-0.080812,0.878304,-0.410219,1.272954,2.929096,0.222858,1.486782,-1.197428,-0.65457,-0.147354,-1.216077,-3.116857,1.382182,-1.532921,1.496911,-1.696131,-1.71197,-0.056099,-0.770784,0.718897,1.193612,1.486399,-0.886614,0.140672,-0.958374,1.555114,0.730184,-0.12365,0.274647,-0.154072,0.240057,0.976038,0.713016,0.046135,-1.556934,0.703586,0.04278,-0.60362,0.644452,-0.114335,0.58357,0.50497,-0.886904,0.382598,0.5018,-1.329892,0.207217,0.483342,0.663562,0.613326,-0.285959,-1.857483,0.688897,-0.743672,3,-0.703859,0.100159,0.026247,-1.018279,1.36606,-0.989823,-0.098161,0.929145,0.371173,-0.005927,0.538437,0.247706,0.422819,-0.475175,1.18312,-0.480845,0.086453,-0.159012,0.643631,0.70886,0.210359,-0.355495,ClassZero
1.4,4.7,-1.839567,0.436187,-0.587481,-0.9819,7,-1.738332,-0.329742,-0.095871,1.193415,0.143937,-0.947724,-0.053243,-0.003331,-0.991206,0.553781,0.794442,-0.253217,0.395437,0.613349,1.324868,0.527389,1.8437,0.303452,0.030386,0.261106,0.186979,-0.096942,1.910343,-0.649616,1.136448,-2.231538,1.006704,-0.953861,-1.090509,-0.229663,-1.683207,1.39923,-1.363078,0.271091,-0.226124,0.867665,-0.7735,1.001921,1.098273,-0.858668,0.073153,-0.849614,-0.14251,-0.373412,-1.419186,-1.438854,0.125175,1.119708,-0.211429,-0.101003,-0.587375,-1.732327,-1.940533,0.634285,3.2,0.707135,0.344046,1.25795,0.736165,0.81109,-0.670023,0.503779,-2.25625,-0.443603,1.077315,-1.518207,-0.577396,-1.088015,0.707158,0.840648,0.765002,-0.089042,0.095003,0.152164,0.176892,1.571463,0.801301,ClassOne
1,3.5,0.024372,-1.354585,-0.42622,-0.155508,5,0.820316,1.258197,-1.199518,-0.539119,0.672007,-0.620276,0.821873,-0.067375,-0.507291,1.078571,0.415251,-0.22842,-0.079035,0.413256,-0.604033,0.257271,-1.082994,-0.208626,0.087138,-1.342867,0.274499,-0.28341,-0.92658,1.19687,0.490253,1.297082,-2.113932,0.96536,1.006934,0.080445,1.728332,0.11285,0.046361,0.381849,-0.613204,-0.699969,-0.17075,0.48468,0.657788,-0.148293,0.940587,-0.700208,-0.288187,1.231276,-1.651031,1.582271,0.328753,0.052347,-0.016738,-0.824147,-0.167253,0.948533,0.300478,1.407704,2,-0.357466,-0.951684,-0.335052,-0.69103,-0.596771,0.304047,1.563248,-0.038244,2.006026,-0.135872,-0.710947,-0.976875,-0.240284,-0.551577,1.251292,1.228502,0.573756,0.176887,0.943274,-0.21942,-0.634844,-0.384438,ClassOne
1.8,4.8,-0.351258,1.51344,-0.676196,0.424755,5.9,0.337243,0.897423,-1.007032,0.724624,1.148887,0.278407,-0.449902,-0.504095,-1.74725,-1.030172,0.176871,-0.85191,0.538999,0.595135,-0.254326,2.191634,0.233907,-0.285237,1.405944,0.256729,0.188121,1.089087,0.227848,-0.674122,0.424736,-0.180964,0.039529,-1.416159,-0.504255,0.107128,0.602663,-0.748828,0.782228,1.100631,0.798762,-0.644919,-1.30063,2.157701,-0.540621,-0.471159,-1.164875,1.410622,-0.093345,1.086237,-2.050024,-0.2916,-0.772711,0.039206,1.859206,0.323814,0.470044,0.58853,0.387263,-0.054403,3.2,0.138936,0.157167,0.443996,2.841767,0.072435,-0.243614,-1.438777,0.01315,-0.037476,0.185051,0.981871,0.012417,0.588986,0.184836,-1.164221,-0.478353,1.254605,-0.816759,0.879404,-0.569286,1.292071,2.630057,ClassOne
1.1,3.8,-2.214957,0.554253,1.48877,-0.16389,5.5,2.453035,-0.146056,-0.357133,1.084361,0.660414,-0.128932,0.436882,-1.088266,0.756136,-0.988292,1.334679,-1.273522,0.947977,-0.096304,-1.030433,0.276469,-2.194386,-0.778022,0.213391,0.84756,1.970291,-2.527136,-0.006071,1.674733,0.029121,1.290229,-0.115548,-0.735977,0.872963,1.46683,-2.032497,1.828012,1.251046,0.694276,0.675961,-0.887342,-0.271729,-0.10055,2.106997,-0.348911,0.910849,-1.02519,-0.627007,0.411294,0.699366,-0.351956,-0.982768,-0.55837,-0.342288,-0.246541,0.342479,0.988373,0.922024,-0.236881,2.4,0.718793,-0.442835,0.280411,-2.757264,0.271502,-0.826697,-0.925093,-0.940305,1.922119,-1.257531,-1.186369,-1.098943,0.274938,0.671444,1.764942,-1.087456,0.272931,-0.355701,-1.522364,0.940455,-1.542241,1.621526,ClassOne
1.2,4.4,-1.57735,0.362153,-0.378128,-0.308745,5.5,0.101177,-0.283051,-0.777355,0.124394,-0.165727,-0.674838,-0.529859,-0.033649,-0.697544,-0.576855,1.457492,-1.816337,1.297096,-0.088724,-0.498288,0.064533,1.51277,0.333919,0.018713,0.669865,-0.873853,0.819369,0.57172,0.186719,-0.541004,-0.259203,-0.229494,-0.467214,1.383399,2.633002,-0.215497,-0.660717,-2.027256,0.573708,-1.285744,-0.711177,-0.287252,-1.464259,-2.059307,0.19672,-0.336283,1.948441,-0.482387,0.169538,-0.086331,0.220459,0.165488,0.937992,-0.18091,0.419704,0.36472,-1.048777,-0.875481,3.006052,2.6,0.994552,0.029323,-0.187443,0.447886,2.231484,-0.690178,0.462649,1.103842,0.749876,1.123284,0.30051,0.128314,-1.136988,-0.088986,0.85337,0.255672,-1.247298,0.071143,-0.616114,-1.290574,-1.787854,-1.450177,ClassOne
2.5,6,0.604277,-0.908408,0.761769,-1.118649,6.3,-1.879252,-0.8347,-0.257662,0.424356,-0.534006,-0.062328,-0.476355,-1.077302,0.317108,1.308024,0.142414,-0.194625,0.781847,0.997845,-0.287546,0.182803,0.260081,0.452769,-1.402205,-0.438068,1.031283,0.360745,0.233708,-0.299517,1.476076,-1.550233,0.404356,-0.592281,0.278256,-0.972317,0.338218,0.49938,-0.271242,0.925066,-0.611262,-1.152335,1.305445,0.970433,-0.535497,-1.236163,0.123047,-0.140744,-0.149574,-0.379143,0.684312,0.227978,-0.167219,0.636152,-1.415712,-0.166393,0.75989,2.542335,-0.029482,-2.100525,3.3,-0.782529,0.363241,0.592166,0.760617,-1.376421,0.886721,1.453874,0.096549,0.29228,-0.802038,-2.447202,1.214965,-1.402235,0.313305,-0.340835,-1.455286,-0.774274,2.405715,0.113221,-1.431263,-0.763219,-1.263296,ClassTwo
1.7,4.5,2.056894,-0.664878,-0.762516,0.107525,4.9,-0.609455,-0.80889,-0.041413,-0.554371,2.615181,0.908922,-0.585337,0.270318,0.892005,0.895306,-0.001655,-1.596662,1.252048,1.147216,-2.531765,-0.527705,-1.368855,1.101614,-0.04015,-0.823549,-0.028354,0.006145,0.817301,-0.292658,-0.530095,1.250875,0.093434,1.451056,-0.963121,-0.066709,-0.468412,-0.670107,0.411005,0.608081,0.146299,1.577559,0.018367,-0.065184,-0.916152,1.197436,0.542886,0.200622,1.074436,0.18396,-0.388252,-0.41775,-0.143683,-0.650037,0.18042,-0.865225,-1.152383,0.055364,0.662761,-1.713336,2.5,1.062412,-1.021237,1.437594,0.053726,2.483625,1.184748,0.484805,0.263682,1.267041,0.436179,1.887422,-1.055375,1.22473,0.311108,0.676801,-0.276421,0.017709,0.277513,0.600481,0.396537,0.491133,-0.307175,ClassTwo
