@relation 'rawiris-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.2 numeric
@attribute 1.4 numeric
@attribute 5.1 numeric
@attribute 3.5 numeric
@attribute Iris-setosa {Iris-setosa,Iris-versicolor,Iris-virginica}

@data

0.2,1.4,4.9,3,Iris-setosa
0.2,1.3,4.7,3.2,Iris-setosa
0.2,1.5,4.6,3.1,Iris-setosa
0.2,1.4,5,3.6,Iris-setosa
0.4,1.7,5.4,3.9,Iris-setosa
0.3,1.4,4.6,3.4,Iris-setosa
0.2,1.5,5,3.4,Iris-setosa
0.2,1.4,4.4,2.9,Iris-setosa
0.1,1.5,4.9,3.1,Iris-setosa
0.2,1.5,5.4,3.7,Iris-setosa
0.2,1.6,4.8,3.4,Iris-setosa
0.1,1.4,4.8,3,Iris-setosa
0.1,1.1,4.3,3,Iris-setosa
0.2,1.2,5.8,4,Iris-setosa
0.4,1.5,5.7,4.4,Iris-setosa
0.4,1.3,5.4,3.9,Iris-setosa
0.3,1.4,5.1,3.5,Iris-setosa
0.3,1.7,5.7,3.8,Iris-setosa
0.3,1.5,5.1,3.8,Iris-setosa
0.2,1.7,5.4,3.4,Iris-setosa
0.4,1.5,5.1,3.7,Iris-setosa
0.2,1,4.6,3.6,Iris-setosa
0.5,1.7,5.1,3.3,Iris-setosa
0.2,1.9,4.8,3.4,Iris-setosa
0.2,1.6,5,3,Iris-setosa
0.4,1.6,5,3.4,Iris-setosa
0.2,1.5,5.2,3.5,Iris-setosa
0.2,1.4,5.2,3.4,Iris-setosa
0.2,1.6,4.7,3.2,Iris-setosa
0.2,1.6,4.8,3.1,Iris-setosa
0.4,1.5,5.4,3.4,Iris-setosa
0.1,1.5,5.2,4.1,Iris-setosa
0.2,1.4,5.5,4.2,Iris-setosa
0.1,1.5,4.9,3.1,Iris-setosa
0.2,1.2,5,3.2,Iris-setosa
0.2,1.3,5.5,3.5,Iris-setosa
0.1,1.5,4.9,3.1,Iris-setosa
0.2,1.3,4.4,3,Iris-setosa
0.2,1.5,5.1,3.4,Iris-setosa
0.3,1.3,5,3.5,Iris-setosa
0.3,1.3,4.5,2.3,Iris-setosa
0.2,1.3,4.4,3.2,Iris-setosa
0.6,1.6,5,3.5,Iris-setosa
0.4,1.9,5.1,3.8,Iris-setosa
0.3,1.4,4.8,3,Iris-setosa
0.2,1.6,5.1,3.8,Iris-setosa
0.2,1.4,4.6,3.2,Iris-setosa
0.2,1.5,5.3,3.7,Iris-setosa
0.2,1.4,5,3.3,Iris-setosa
1.4,4.7,7,3.2,Iris-versicolor
1.5,4.5,6.4,3.2,Iris-versicolor
1.5,4.9,6.9,3.1,Iris-versicolor
1.3,4,5.5,2.3,Iris-versicolor
1.5,4.6,6.5,2.8,Iris-versicolor
1.3,4.5,5.7,2.8,Iris-versicolor
1.6,4.7,6.3,3.3,Iris-versicolor
1,3.3,4.9,2.4,Iris-versicolor
1.3,4.6,6.6,2.9,Iris-versicolor
1.4,3.9,5.2,2.7,Iris-versicolor
1,3.5,5,2,Iris-versicolor
1.5,4.2,5.9,3,Iris-versicolor
1,4,6,2.2,Iris-versicolor
1.4,4.7,6.1,2.9,Iris-versicolor
1.3,3.6,5.6,2.9,Iris-versicolor
1.4,4.4,6.7,3.1,Iris-versicolor
1.5,4.5,5.6,3,Iris-versicolor
1,4.1,5.8,2.7,Iris-versicolor
1.5,4.5,6.2,2.2,Iris-versicolor
1.1,3.9,5.6,2.5,Iris-versicolor
1.8,4.8,5.9,3.2,Iris-versicolor
1.3,4,6.1,2.8,Iris-versicolor
1.5,4.9,6.3,2.5,Iris-versicolor
1.2,4.7,6.1,2.8,Iris-versicolor
1.3,4.3,6.4,2.9,Iris-versicolor
1.4,4.4,6.6,3,Iris-versicolor
1.4,4.8,6.8,2.8,Iris-versicolor
1.7,5,6.7,3,Iris-versicolor
1.5,4.5,6,2.9,Iris-versicolor
1,3.5,5.7,2.6,Iris-versicolor
1.1,3.8,5.5,2.4,Iris-versicolor
1,3.7,5.5,2.4,Iris-versicolor
1.2,3.9,5.8,2.7,Iris-versicolor
1.6,5.1,6,2.7,Iris-versicolor
1.5,4.5,5.4,3,Iris-versicolor
1.6,4.5,6,3.4,Iris-versicolor
1.5,4.7,6.7,3.1,Iris-versicolor
1.3,4.4,6.3,2.3,Iris-versicolor
1.3,4.1,5.6,3,Iris-versicolor
1.3,4,5.5,2.5,Iris-versicolor
1.2,4.4,5.5,2.6,Iris-versicolor
1.4,4.6,6.1,3,Iris-versicolor
1.2,4,5.8,2.6,Iris-versicolor
1,3.3,5,2.3,Iris-versicolor
1.3,4.2,5.6,2.7,Iris-versicolor
1.2,4.2,5.7,3,Iris-versicolor
1.3,4.2,5.7,2.9,Iris-versicolor
1.3,4.3,6.2,2.9,Iris-versicolor
1.1,3,5.1,2.5,Iris-versicolor
1.3,4.1,5.7,2.8,Iris-versicolor
2.5,6,6.3,3.3,Iris-virginica
1.9,5.1,5.8,2.7,Iris-virginica
2.1,5.9,7.1,3,Iris-virginica
1.8,5.6,6.3,2.9,Iris-virginica
2.2,5.8,6.5,3,Iris-virginica
2.1,6.6,7.6,3,Iris-virginica
1.7,4.5,4.9,2.5,Iris-virginica
1.8,6.3,7.3,2.9,Iris-virginica
1.8,5.8,6.7,2.5,Iris-virginica
2.5,6.1,7.2,3.6,Iris-virginica
2,5.1,6.5,3.2,Iris-virginica
1.9,5.3,6.4,2.7,Iris-virginica
2.1,5.5,6.8,3,Iris-virginica
2,5,5.7,2.5,Iris-virginica
2.4,5.1,5.8,2.8,Iris-virginica
2.3,5.3,6.4,3.2,Iris-virginica
1.8,5.5,6.5,3,Iris-virginica
2.2,6.7,7.7,3.8,Iris-virginica
2.3,6.9,7.7,2.6,Iris-virginica
1.5,5,6,2.2,Iris-virginica
2.3,5.7,6.9,3.2,Iris-virginica
2,4.9,5.6,2.8,Iris-virginica
2,6.7,7.7,2.8,Iris-virginica
1.8,4.9,6.3,2.7,Iris-virginica
2.1,5.7,6.7,3.3,Iris-virginica
1.8,6,7.2,3.2,Iris-virginica
1.8,4.8,6.2,2.8,Iris-virginica
1.8,4.9,6.1,3,Iris-virginica
2.1,5.6,6.4,2.8,Iris-virginica
1.6,5.8,7.2,3,Iris-virginica
1.9,6.1,7.4,2.8,Iris-virginica
2,6.4,7.9,3.8,Iris-virginica
2.2,5.6,6.4,2.8,Iris-virginica
1.5,5.1,6.3,2.8,Iris-virginica
1.4,5.6,6.1,2.6,Iris-virginica
2.3,6.1,7.7,3,Iris-virginica
2.4,5.6,6.3,3.4,Iris-virginica
1.8,5.5,6.4,3.1,Iris-virginica
1.8,4.8,6,3,Iris-virginica
2.1,5.4,6.9,3.1,Iris-virginica
2.4,5.6,6.7,3.1,Iris-virginica
2.3,5.1,6.9,3.1,Iris-virginica
1.9,5.1,5.8,2.7,Iris-virginica
2.3,5.9,6.8,3.2,Iris-virginica
2.5,5.7,6.7,3.3,Iris-virginica
2.3,5.2,6.7,3,Iris-virginica
1.9,5,6.3,2.5,Iris-virginica
2,5.2,6.5,3,Iris-virginica
2.3,5.4,6.2,3.4,Iris-virginica
1.8,5.1,5.9,3,Iris-virginica
