@relation 'raw-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval -M-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 3 numeric
@attribute 4 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 43 numeric
@attribute 42 numeric
@attribute 45 numeric
@attribute 44 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 47 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 46 numeric
@attribute 49 numeric
@attribute 48 numeric
@attribute 58 numeric
@attribute 57 numeric
@attribute 59 numeric
@attribute 33 numeric
@attribute 60 numeric
@attribute 56 numeric
@attribute 55 numeric
@attribute 54 numeric
@attribute 53 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 34 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 13 numeric
@attribute 12 numeric
@attribute 14 numeric
@attribute 17 numeric
@attribute 15 numeric
@attribute 11 numeric
@attribute 10 numeric
@attribute 9 numeric
@attribute 8 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 16 numeric
@attribute 18 numeric
@attribute 123 numeric
@attribute 28 numeric
@attribute 27 numeric
@attribute 29 numeric
@attribute 19 numeric
@attribute 30 numeric
@attribute 26 numeric
@attribute 25 numeric
@attribute 24 numeric
@attribute 23 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 61 numeric
@attribute 124 numeric
@attribute 63 numeric
@attribute 105 numeric
@attribute 104 numeric
@attribute 106 numeric
@attribute 102 numeric
@attribute 107 numeric
@attribute 103 numeric
@attribute 101 numeric
@attribute 94 numeric
@attribute 97 numeric
@attribute 96 numeric
@attribute 98 numeric
@attribute 100 numeric
@attribute 99 numeric
@attribute 108 numeric
@attribute 109 numeric
@attribute 110 numeric
@attribute 120 numeric
@attribute 119 numeric
@attribute 121 numeric
@attribute 111 numeric
@attribute 122 numeric
@attribute 118 numeric
@attribute 117 numeric
@attribute 116 numeric
@attribute 115 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 95 numeric
@attribute 93 numeric
@attribute 64 numeric
@attribute 74 numeric
@attribute 73 numeric
@attribute 75 numeric
@attribute 71 numeric
@attribute 76 numeric
@attribute 72 numeric
@attribute 70 numeric
@attribute 92 numeric
@attribute 66 numeric
@attribute 65 numeric
@attribute 67 numeric
@attribute 69 numeric
@attribute 68 numeric
@attribute 77 numeric
@attribute 78 numeric
@attribute 79 numeric
@attribute 89 numeric
@attribute 88 numeric
@attribute 90 numeric
@attribute 80 numeric
@attribute 91 numeric
@attribute 87 numeric
@attribute 86 numeric
@attribute 85 numeric
@attribute 84 numeric
@attribute 81 numeric
@attribute 82 numeric
@attribute 83 numeric
@attribute 62 numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data

1.4,0.2,5.1,3.5,-0.387327,1.20238,-1.048553,-0.302303,0.156349,1.230291,-1.980796,-0.347912,-1.70627,0.154947,0.378163,-0.887786,-1.420018,-0.509652,1.950775,-1.180632,-0.510805,-0.028182,1.532779,0.428332,0.386902,-0.895467,-0.21274,-1.613898,-0.438074,-1.252795,0.77749,1.469359,0.045759,-0.187184,-0.103219,-0.151357,0.410599,0.761038,0.144044,0.950088,-0.977278,1.867558,2.240893,1.764052,0.400157,0.978738,1.454274,0.121675,0.614079,-0.742165,0.864436,2.269755,0.443863,-1.454366,0.653619,-2.55299,-0.854096,0.313068,0.333674,1.494079,-0.205158,0.066517,0.922207,-0.634322,1.883151,0.401989,-1.347759,1.78587,-1.270485,0.126912,0.0105,1.054452,0.208275,1.222445,0.976639,0.706573,0.356366,0.969397,-1.173123,1.943621,0.802456,-0.268003,0.947252,-0.413619,-0.15501,1.910065,-0.861226,0.906045,1.867559,-0.747455,1.922942,1.480515,-0.403177,-1.070753,-0.362741,0.051945,-0.907298,0.729091,-1.630198,0.128983,0.462782,-0.401781,-0.179925,-0.359553,-0.67246,-0.813146,0.177426,-1.726283,1.139401,-1.234826,0.402342,1.488252,-1.536244,1.895889,-0.68481,1.17878,0.465662,0.900826,-1.16515,0.056165,-0.870797,-0.57885,-0.311553,0.302472,Iris-setosa
1.4,0.2,4.9,3,-1.147469,-1.079932,-0.498032,-0.43782,-0.663478,1.126636,-0.826439,-0.098453,0.949421,-0.068242,1.713343,-0.744755,1.929532,-1.225436,0.087551,-0.651026,0.856831,-1.034243,-1.315907,0.681595,0.318728,0.920859,0.316943,1.18803,0.844363,-1.000215,-1.544771,-0.461585,-0.912822,1.117016,0.672295,1.849264,0.407462,-0.674333,-0.769916,-0.435154,-0.149635,-0.694568,1.326386,0.376426,-1.099401,0.298238,0.539249,0.031831,0.426259,0.635031,0.166673,2.383145,-0.635846,0.944479,0.439392,-1.491258,-1.093062,0.396007,0.676433,0.576591,-0.208299,-0.80341,0.676908,-0.455533,-0.955945,-0.042257,-0.345982,0.379152,-0.463596,2.259309,-0.01702,-0.09815,0.786328,0.317218,-0.466419,-0.41005,-0.944446,0.481481,-1.540797,0.063262,0.781198,-1.156182,1.494485,0.156507,-2.069985,0.41605,-0.542861,-0.49332,-1.424061,0.232181,-0.597316,-0.237922,0.910179,0.279925,0.017479,1.543015,-0.739563,-1.292857,-1.104383,0.267051,0.052165,-1.602058,-0.738031,-1.374951,-0.353994,-0.643618,0.625231,-2.223403,-0.039283,-1.168093,0.523277,0.640132,0.655264,-1.616956,-0.171546,-0.024326,1.09966,-0.239379,-0.369182,1.336528,0.771791,0.823504,2.163236,-0.68955,Iris-setosa
1.3,0.2,4.7,3.2,-2.030684,-0.116104,-0.110541,2.064493,-0.390953,0.493742,0.390093,-0.652409,-0.69205,0.399046,-2.772593,1.955912,1.020173,0.286344,1.536377,-1.060016,2.303917,-0.13595,-0.310886,1.136891,-0.481027,-0.628088,1.301846,0.689818,0.608844,-1.045253,1.211145,0.0974,0.523891,0.088422,-0.813364,1.079619,-1.466424,0.141953,0.521065,1.152332,-1.676004,-0.309013,-0.297791,-0.637437,-0.397272,-0.132881,-0.575788,-0.319328,-0.479656,-0.052567,-0.596314,-1.93628,0.691539,0.188779,-0.506816,-1.188859,0.610379,-1.582938,0.694749,-0.725597,-1.383364,0.097725,0.620358,-0.399449,1.068509,1.659551,-0.453386,0.450934,-0.687838,-0.684011,-1.755891,0.943261,0.773253,-1.188945,-1.183881,0.60632,-2.659172,-1.214077,-0.440923,-0.280355,-0.521189,-0.652294,-1.84307,-0.364694,-0.477974,-0.689449,1.364532,-1.437791,-0.764144,0.156704,0.578521,0.349654,0.747188,-0.7047,0.370056,-0.159573,0.693773,-0.133702,-1.334258,1.077744,-1.346718,-0.46072,2.256723,1.658131,-1.306527,-0.118164,0.666383,-0.680178,-1.126826,-0.730678,-0.38488,-1.157355,-0.890915,-0.312292,0.094352,-0.157667,0.274516,-0.812993,-0.719604,-0.107305,-0.042171,-0.286887,-0.061626,0.582954,Iris-setosa
1.5,0.2,4.6,3.1,1.466579,1.141102,-0.598654,0.852552,-0.761492,0.857924,-1.616474,-0.291837,0.766663,0.56729,-0.222675,-0.353432,-1.115897,-1.768538,0.356293,-0.233467,-0.309114,1.732721,1.648135,0.684501,0.800298,-1.446535,-0.807648,-0.185054,0.355482,0.81452,0.058926,0.164228,-0.985511,-1.471835,-0.267734,-0.39485,-1.128011,0.841631,0.280442,-0.190653,0.160928,-0.015682,0.339965,0.698457,0.003771,0.931848,-0.993124,-0.249459,1.128594,-1.022507,-2.255564,0.038631,0.049495,-1.656715,0.38728,-1.698106,0.880179,-0.206904,0.493837,0.643314,-1.570623,0.370825,0.496001,1.519995,-0.517519,-0.050604,-0.97883,-2.201441,-0.43919,0.1993,-0.468864,-0.110389,0.46313,0.820248,0.279096,2.021044,0.338904,0.181338,-0.502817,2.412454,0.994394,1.738873,1.319137,-0.960504,-0.882419,-0.709728,-0.275671,-0.539455,-2.016407,-0.793117,-2.28862,0.251484,-1.054628,-0.782629,1.719589,0.269904,-0.569312,-0.466846,0.943046,-1.416906,-2.739677,0.093953,-0.964612,0.582225,0.929505,-2.094603,-0.130107,0.123722,0.868963,0.276872,-0.971105,0.875833,0.194293,-0.115107,0.314817,0.457416,-0.085931,-1.159421,-0.395229,0.07826,0.821586,0.005293,0.800565,0.142062,Iris-setosa
1.4,0.2,5,3.6,0.28428,1.047972,-0.222606,1.742669,0.175819,0.49869,-1.968625,-0.660056,-1.681218,0.89526,1.374964,-1.332212,-0.913079,0.242118,-0.888971,0.064856,1.224871,-1.279689,-1.179158,-0.585431,0.401499,-2.239604,0.864052,-2.369587,-0.88872,0.936742,1.412328,1.301428,-1.632635,-1.567768,-0.045704,0.553132,0.220508,1.100284,-1.029935,1.513328,-2.655619,0.862596,-0.424318,0.771406,1.029439,-0.908763,-0.349943,1.298022,-0.930157,-0.234216,1.096347,-0.347451,2.696224,-0.581268,-0.034242,0.382732,-0.077855,-1.018042,-0.073925,-0.658553,-0.514234,-0.261645,-0.178589,-0.202897,-1.951804,1.13308,-0.659892,-1.118312,-1.139802,-0.131054,-0.805627,0.527004,0.037006,-1.82974,0.767902,-0.363859,0.58988,0.784958,-0.55431,-0.470638,0.379236,0.35178,-0.470033,-0.21695,-0.216731,-1.084037,-0.219541,0.439043,0.543312,0.445393,-0.392389,-3.046143,0.453782,0.008628,-0.109883,-0.631904,1.181379,0.163929,1.078197,0.096321,-2.559185,-0.443836,0.616887,-1.208574,0.21348,-0.24202,-0.384645,1.518261,0.942468,-0.267595,-0.678026,-0.729045,-1.781563,0.196557,1.297846,0.354758,0.19507,-0.044595,2.011257,-0.761573,-2.364174,0.020334,-1.347925,-0.182245,Iris-setosa
1.7,0.4,5.4,3.9,0.820322,0.252497,-0.090382,1.359949,0.403265,-0.918005,-0.370242,-0.453804,1.03441,-0.687299,-0.117475,0.466166,1.367597,-1.217939,-0.996213,0.520041,0.317161,0.225609,-0.056133,0.449712,-2.320594,0.286904,1.552243,-0.600658,-0.304964,1.028935,-0.072287,-0.001385,0.183339,1.670943,0.115148,-1.6607,-0.379148,0.60512,-1.742356,-0.110489,-0.590058,-1.405963,0.238103,-1.550429,0.417319,-0.944368,-1.303243,0.895556,1.021791,-0.30225,-0.224259,-0.375147,-0.131909,-1.226196,-0.382009,0.676461,-1.506998,1.285984,0.404762,0.223844,0.329623,-0.067276,-0.552541,-0.370704,-1.44494,1.081935,-1.210543,-0.794636,-0.788669,0.197967,-0.346249,2.380745,-1.502397,0.949246,-1.777667,1.09075,-0.532703,1.094638,0.234822,2.132153,-0.101281,1.327783,-0.803141,0.936446,-0.464338,-0.290397,-0.696327,0.679975,-0.704921,-0.035095,1.265078,0.211497,0.330577,-0.035768,-0.945616,0.376877,-2.004216,-0.545712,-0.023423,-1.884586,1.079195,-0.649338,-1.610878,-1.263068,-0.932741,0.452489,-0.448165,0.097896,-1.945703,-0.912783,0.21951,-0.656464,0.867407,-2.834555,0.393063,2.116791,0.755396,1.124419,-0.591403,0.396087,-0.938982,1.017021,1.422983,-1.318396,Iris-setosa
1.4,0.3,4.6,3.4,0.039767,-0.707506,-0.451303,-1.566995,0.821406,0.67057,1.696182,-0.014858,0.7231,0.772695,-1.661598,0.448195,0.265688,0.719984,0.024612,0.192754,-0.919113,-0.365055,-1.824257,-1.791328,0.021351,-0.499017,-0.214167,1.849591,-1.102906,-0.101697,0.019279,0.303604,0.010349,0.720034,0.812674,1.243319,0.587259,-0.507518,-0.505358,-0.932789,-0.887181,-1.601836,-0.38549,-0.386871,-0.510293,0.183925,-0.815792,-1.05188,0.470433,-0.132988,1.754986,-0.765702,2.4972,0.555787,-1.140196,-1.177629,-0.988002,-0.104343,-2.245322,0.564009,-1.284552,-0.058587,0.311447,-1.632423,-0.011146,0.02296,0.011499,1.681922,-0.837678,-0.852586,-0.667713,-0.112466,1.011842,0.645055,-0.657951,1.735879,0.468385,-0.591183,-0.66772,0.326963,0.867277,0.051575,-0.848321,0.330035,-0.325669,-0.069642,0.030602,0.997118,0.32487,2.225944,1.370989,-0.509843,-0.53249,-1.68823,-0.067134,-0.041401,-1.359781,-0.757871,0.529045,-0.050084,0.422629,0.14845,-0.026192,0.521304,1.489356,0.611927,0.476898,-1.341497,-0.897401,1.31247,-0.858972,0.940918,-0.391217,0.405204,-0.898942,0.498052,-0.05747,0.785804,1.411172,-0.829965,0.074586,-1.077099,-0.424663,-0.317543,Iris-setosa
1.5,0.2,5,3.4,0.050954,-0.85892,1.326462,-1.794229,-1.061222,-0.222477,-0.87819,0.69938,0.059895,1.081376,-0.631376,-0.241338,-0.964606,-0.762115,-0.212523,-0.175316,0.930408,-1.42192,-1.37076,1.997956,0.472247,-0.647181,-0.801497,0.27117,-0.88778,0.936399,-0.525641,0.865653,-0.114775,0.308751,-0.74969,-0.539133,0.032809,-0.347962,-2.582797,0.75574,-0.193177,0.406415,2.133868,0.239583,-0.369801,0.972536,-1.15395,-1.353389,2.346647,0.099454,0.021062,0.227393,-1.032643,-1.016739,0.172504,1.154184,0.025405,-0.53527,-0.436748,-1.642965,-0.406072,-0.856549,-1.279161,2.594425,0.365849,-0.531606,1.297825,1.681577,0.481115,-0.792287,-1.006832,1.471322,0.308331,-0.258573,-1.378083,-0.84029,-0.311976,2.759355,-0.074668,0.258716,0.246148,0.528944,0.86352,0.275601,-0.804754,-0.410382,1.401345,0.244443,-0.947489,1.435049,0.507239,-0.11623,1.592771,0.364481,-0.404032,1.329063,0.960693,-0.817493,-0.52158,-1.401347,-1.184687,1.822724,-0.259577,-0.68344,-1.461733,0.367545,-0.851729,0.190312,1.030438,-2.047324,-1.226622,0.045134,0.205333,2.339625,0.967446,-0.276433,1.325014,1.276075,-1.298687,-0.152774,-0.055353,-0.263937,0.352817,-1.541587,Iris-setosa
1.4,0.2,4.4,2.9,-1.147611,0.094192,0.555963,-0.358114,0.412871,-0.198399,0.240788,0.289121,-0.422315,0.441033,0.178793,-0.799422,0.892474,0.228053,0.104714,1.563405,0.161559,-0.790523,1.385262,-0.9073,1.673986,-1.00033,0.239034,-0.049324,0.20148,0.540774,-1.818078,-0.303098,-0.405942,0.724369,0.690429,1.56926,0.796672,0.225582,-0.657926,0.012232,-0.074805,-0.496102,0.829986,-0.365551,0.938093,0.296733,0.968883,1.389145,-0.860262,1.064585,-0.361599,-0.93788,2.01406,0.433108,-0.144567,0.359504,-0.382025,-0.14358,-0.306766,-0.406303,-0.864045,0.224252,0.328301,0.214966,0.209849,-0.660609,-1.240625,1.264983,0.222463,-0.300784,-1.348413,-0.854161,-0.156024,-0.893574,1.049093,0.1895,3.170975,-0.088376,0.098378,0.381416,0.938747,0.087531,0.607112,0.067492,-1.04817,-1.432735,-0.061638,-1.429991,-1.031482,0.016338,0.284315,0.415401,-0.719941,0.03309,0.097219,-0.5189,1.117305,-0.753704,-1.045525,0.13769,-1.084856,-0.792115,-0.599224,0.701041,1.015665,-0.417477,1.712305,-1.097497,-0.206945,-0.678095,0.753991,1.433353,1.114962,0.418398,1.065315,0.435546,0.608156,0.301989,1.669251,-1.775888,0.985318,0.76692,0.402626,-1.678688,Iris-setosa
