You have specified parameters: threshold=mu+/-0.05*sigma #fea=124 selection method=MID #maxVar=10000 #maxSample=1000

Target classification variable (#1 column in the input data) has name=class 	entropy score=1.585

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 3 	 Feature3 	 0.792
2 	 4 	 Feature4 	 0.771
3 	 1 	 Feature1 	 0.487
4 	 2 	 Feature2 	 0.261
5 	 72 	 Feature72 	 0.060
6 	 56 	 Feature56 	 0.056
7 	 45 	 Feature45 	 0.053
8 	 84 	 Feature84 	 0.051
9 	 64 	 Feature64 	 0.050
10 	 104 	 Feature104 	 0.050
11 	 78 	 Feature78 	 0.049
12 	 27 	 Feature27 	 0.049
13 	 123 	 Feature123 	 0.049
14 	 119 	 Feature119 	 0.046
15 	 52 	 Feature52 	 0.039
16 	 32 	 Feature32 	 0.038
17 	 122 	 Feature122 	 0.038
18 	 51 	 Feature51 	 0.036
19 	 7 	 Feature7 	 0.036
20 	 54 	 Feature54 	 0.035
21 	 100 	 Feature100 	 0.035
22 	 120 	 Feature120 	 0.035
23 	 6 	 Feature6 	 0.034
24 	 65 	 Feature65 	 0.034
25 	 36 	 Feature36 	 0.032
26 	 81 	 Feature81 	 0.031
27 	 10 	 Feature10 	 0.031
28 	 17 	 Feature17 	 0.031
29 	 67 	 Feature67 	 0.031
30 	 18 	 Feature18 	 0.031
31 	 40 	 Feature40 	 0.030
32 	 124 	 Feature124 	 0.030
33 	 94 	 Feature94 	 0.030
34 	 13 	 Feature13 	 0.030
35 	 88 	 Feature88 	 0.029
36 	 57 	 Feature57 	 0.029
37 	 73 	 Feature73 	 0.029
38 	 113 	 Feature113 	 0.029
39 	 38 	 Feature38 	 0.029
40 	 63 	 Feature63 	 0.029
41 	 117 	 Feature117 	 0.027
42 	 101 	 Feature101 	 0.027
43 	 79 	 Feature79 	 0.027
44 	 19 	 Feature19 	 0.026
45 	 43 	 Feature43 	 0.026
46 	 105 	 Feature105 	 0.026
47 	 33 	 Feature33 	 0.025
48 	 62 	 Feature62 	 0.025
49 	 29 	 Feature29 	 0.025
50 	 87 	 Feature87 	 0.025
51 	 86 	 Feature86 	 0.025
52 	 25 	 Feature25 	 0.025
53 	 95 	 Feature95 	 0.024
54 	 85 	 Feature85 	 0.024
55 	 26 	 Feature26 	 0.023
56 	 9 	 Feature9 	 0.023
57 	 20 	 Feature20 	 0.023
58 	 31 	 Feature31 	 0.022
59 	 114 	 Feature114 	 0.021
60 	 42 	 Feature42 	 0.021
61 	 98 	 Feature98 	 0.021
62 	 53 	 Feature53 	 0.021
63 	 92 	 Feature92 	 0.021
64 	 76 	 Feature76 	 0.020
65 	 91 	 Feature91 	 0.018
66 	 59 	 Feature59 	 0.018
67 	 35 	 Feature35 	 0.018
68 	 90 	 Feature90 	 0.018
69 	 111 	 Feature111 	 0.018
70 	 11 	 Feature11 	 0.018
71 	 55 	 Feature55 	 0.018
72 	 44 	 Feature44 	 0.018
73 	 68 	 Feature68 	 0.018
74 	 83 	 Feature83 	 0.018
75 	 39 	 Feature39 	 0.017
76 	 70 	 Feature70 	 0.017
77 	 66 	 Feature66 	 0.016
78 	 16 	 Feature16 	 0.015
79 	 14 	 Feature14 	 0.015
80 	 80 	 Feature80 	 0.015
81 	 60 	 Feature60 	 0.015
82 	 71 	 Feature71 	 0.015
83 	 112 	 Feature112 	 0.014
84 	 21 	 Feature21 	 0.014
85 	 102 	 Feature102 	 0.014
86 	 8 	 Feature8 	 0.013
87 	 34 	 Feature34 	 0.013
88 	 30 	 Feature30 	 0.013
89 	 89 	 Feature89 	 0.013
90 	 115 	 Feature115 	 0.013
91 	 37 	 Feature37 	 0.013
92 	 22 	 Feature22 	 0.012
93 	 50 	 Feature50 	 0.012
94 	 107 	 Feature107 	 0.012
95 	 24 	 Feature24 	 0.011
96 	 74 	 Feature74 	 0.011
97 	 96 	 Feature96 	 0.010
98 	 48 	 Feature48 	 0.010
99 	 58 	 Feature58 	 0.010
100 	 49 	 Feature49 	 0.010
101 	 15 	 Feature15 	 0.009
102 	 109 	 Feature109 	 0.009
103 	 23 	 Feature23 	 0.009
104 	 108 	 Feature108 	 0.008
105 	 106 	 Feature106 	 0.008
106 	 103 	 Feature103 	 0.008
107 	 5 	 Feature5 	 0.008
108 	 41 	 Feature41 	 0.008
109 	 93 	 Feature93 	 0.007
110 	 69 	 Feature69 	 0.007
111 	 12 	 Feature12 	 0.007
112 	 121 	 Feature121 	 0.007
113 	 99 	 Feature99 	 0.006
114 	 75 	 Feature75 	 0.006
115 	 110 	 Feature110 	 0.006
116 	 28 	 Feature28 	 0.005
117 	 61 	 Feature61 	 0.005
118 	 47 	 Feature47 	 0.005
119 	 118 	 Feature118 	 0.004
120 	 116 	 Feature116 	 0.004
121 	 46 	 Feature46 	 0.003
122 	 97 	 Feature97 	 0.002
123 	 77 	 Feature77 	 0.001

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 3 	 Feature3 	 0.792
2 	 2 	 Feature2 	 0.089
3 	 4 	 Feature4 	 0.301
4 	 1 	 Feature1 	 0.139
5 	 45 	 Feature45 	 0.039
6 	 104 	 Feature104 	 0.034
7 	 84 	 Feature84 	 0.034
8 	 56 	 Feature56 	 0.036
9 	 72 	 Feature72 	 0.033
10 	 27 	 Feature27 	 0.031
11 	 78 	 Feature78 	 0.029
12 	 123 	 Feature123 	 0.030
13 	 54 	 Feature54 	 0.025
14 	 119 	 Feature119 	 0.023
15 	 32 	 Feature32 	 0.020
16 	 65 	 Feature65 	 0.020
17 	 64 	 Feature64 	 0.021
18 	 51 	 Feature51 	 0.018
19 	 122 	 Feature122 	 0.018
20 	 73 	 Feature73 	 0.016
21 	 38 	 Feature38 	 0.016
22 	 100 	 Feature100 	 0.015
23 	 52 	 Feature52 	 0.014
24 	 18 	 Feature18 	 0.013
25 	 81 	 Feature81 	 0.013
26 	 40 	 Feature40 	 0.012
27 	 120 	 Feature120 	 0.011
28 	 113 	 Feature113 	 0.011
29 	 10 	 Feature10 	 0.012
30 	 7 	 Feature7 	 0.011
31 	 117 	 Feature117 	 0.010
32 	 6 	 Feature6 	 0.010
33 	 36 	 Feature36 	 0.009
34 	 67 	 Feature67 	 0.009
35 	 13 	 Feature13 	 0.008
36 	 105 	 Feature105 	 0.008
37 	 88 	 Feature88 	 0.008
